puzzle_id,folder_name,source,difficulty,num_1x1_blockers,num_2x1_blockers,solution_length,exit_position
151,puzzle151,new_rl,easy,3,1,7,"[2,4]"
152,puzzle152,new_rl,easy,5,0,2,"[2,4]"
153,puzzle153,new_rl,easy,5,0,2,"[2,4]"
154,puzzle154,new_rl,easy,5,0,6,"[2,4]"
155,puzzle155,new_rl,easy,5,0,3,"[2,4]"
156,puzzle156,new_rl,easy,3,1,3,"[2,4]"
157,puzzle157,new_rl,easy,5,0,5,"[2,4]"
158,puzzle158,new_rl,easy,5,0,2,"[2,4]"
159,puzzle159,new_rl,easy,5,0,3,"[2,4]"
160,puzzle160,new_rl,easy,5,0,5,"[2,4]"
161,puzzle161,new_rl,easy,4,0,4,"[2,4]"
162,puzzle162,new_rl,easy,5,0,2,"[2,4]"
163,puzzle163,new_rl,easy,4,0,2,"[2,4]"
164,puzzle164,new_rl,easy,4,0,4,"[2,4]"
165,puzzle165,new_rl,easy,3,1,7,"[2,4]"
166,puzzle166,new_rl,easy,5,0,2,"[2,4]"
167,puzzle167,new_rl,easy,5,0,5,"[2,4]"
168,puzzle168,new_rl,easy,3,1,3,"[2,4]"
169,puzzle169,new_rl,easy,5,0,2,"[2,4]"
170,puzzle170,new_rl,easy,4,0,3,"[2,4]"
171,puzzle171,new_rl,easy,4,0,3,"[2,4]"
172,puzzle172,new_rl,easy,5,0,5,"[2,4]"
173,puzzle173,new_rl,easy,5,0,4,"[2,4]"
174,puzzle174,new_rl,easy,4,0,1,"[2,4]"
175,puzzle175,new_rl,easy,3,1,2,"[2,4]"
176,puzzle176,new_rl,easy,3,1,4,"[2,4]"
177,puzzle177,new_rl,easy,5,0,2,"[2,4]"
178,puzzle178,new_rl,easy,4,0,2,"[2,4]"
179,puzzle179,new_rl,easy,5,0,6,"[2,4]"
180,puzzle180,new_rl,easy,3,1,4,"[2,4]"
181,puzzle181,new_rl,easy,5,0,5,"[2,4]"
182,puzzle182,new_rl,easy,4,0,4,"[2,4]"
183,puzzle183,new_rl,easy,3,1,5,"[2,4]"
184,puzzle184,new_rl,easy,3,1,7,"[2,4]"
185,puzzle185,new_rl,easy,4,0,3,"[2,4]"
186,puzzle186,new_rl,easy,4,0,3,"[2,4]"
187,puzzle187,new_rl,easy,3,1,3,"[2,4]"
188,puzzle188,new_rl,easy,3,1,3,"[2,4]"
189,puzzle189,new_rl,easy,4,0,3,"[2,4]"
190,puzzle190,new_rl,easy,3,1,1,"[2,4]"
191,puzzle191,new_rl,easy,4,0,5,"[2,4]"
192,puzzle192,new_rl,easy,4,0,3,"[2,4]"
193,puzzle193,new_rl,easy,3,1,2,"[2,4]"
194,puzzle194,new_rl,easy,4,0,3,"[2,4]"
195,puzzle195,new_rl,easy,5,0,1,"[2,4]"
196,puzzle196,new_rl,easy,5,0,4,"[2,4]"
197,puzzle197,new_rl,easy,3,1,5,"[2,4]"
198,puzzle198,new_rl,easy,3,1,2,"[2,4]"
199,puzzle199,new_rl,easy,3,1,2,"[2,4]"
200,puzzle200,new_rl,easy,5,0,4,"[2,4]"
201,puzzle201,new_rl,easy,5,0,3,"[2,4]"
202,puzzle202,new_rl,easy,4,0,5,"[2,4]"
203,puzzle203,new_rl,easy,4,0,2,"[2,4]"
204,puzzle204,new_rl,easy,3,1,3,"[2,4]"
205,puzzle205,new_rl,easy,5,0,2,"[2,4]"
206,puzzle206,new_rl,easy,5,0,6,"[2,4]"
